證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2383 台光電,2025/12/31,"1,680","1,680","1,615","1,645","2,439"
2383 台光電,2025/12/30,"1,665","1,665","1,630","1,645","1,393"
2383 台光電,2025/12/29,"1,650","1,680","1,645","1,675","2,017"
2383 台光電,2025/12/26,"1,685","1,695","1,640","1,640","1,801"
2383 台光電,2025/12/24,"1,650","1,695","1,630","1,690","3,715"
2383 台光電,2025/12/23,"1,615","1,630","1,590","1,615","1,428"
2383 台光電,2025/12/22,"1,575","1,610","1,560","1,600","2,386"
2383 台光電,2025/12/19,"1,535","1,565","1,530","1,550","2,430"
2383 台光電,2025/12/18,"1,470","1,515","1,470","1,500","1,749"
2383 台光電,2025/12/17,"1,505","1,550","1,495","1,495","3,562"
2383 台光電,2025/12/16,"1,580","1,590","1,465","1,495","4,621"
2383 台光電,2025/12/15,"1,575","1,625","1,555","1,605","2,641"
2383 台光電,2025/12/12,"1,605","1,635","1,575","1,605","2,675"
2383 台光電,2025/12/11,"1,585","1,630","1,560","1,595","4,675"
2383 台光電,2025/12/10,"1,505","1,605","1,485","1,600","4,569"
2383 台光電,2025/12/9,"1,485","1,515","1,480","1,500","1,963"
2383 台光電,2025/12/8,"1,500","1,500","1,475","1,485","2,234"
2383 台光電,2025/12/5,"1,430","1,505","1,405","1,495","4,304"
2383 台光電,2025/12/4,"1,425","1,450","1,405","1,425","2,385"
2383 台光電,2025/12/3,"1,465","1,470","1,415","1,430","3,440"
2383 台光電,2025/12/2,"1,495","1,540","1,440","1,440","3,779"
2383 台光電,2025/12/1,"1,515","1,515","1,460","1,475","2,990"
2383 台光電,2025/11/28,"1,535","1,560","1,505","1,525","4,316"
2383 台光電,2025/11/27,"1,500","1,515","1,470","1,495","3,120"
2383 台光電,2025/11/26,"1,500","1,535","1,445","1,470","7,359"
2383 台光電,2025/11/25,"1,380","1,450","1,380","1,450","5,394"
