Date,open,high,low,close,volume,dividends,stock splits,capital gains,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2022-01-03,31.76232170719175,32.056015735729666,31.76232170719175,31.849340438842773,27136808,0.0,0.0,0.0,2022-01-03,False,False,,,31.849340438842773,31.849340438842773,31.849340438842773,,,,,,,,,,,True,False,31.76232170719175
2022-01-04,32.132154458401715,32.545501708984375,32.132154458401715,32.545501708984375,38537760,0.0,0.0,0.0,2022-01-04,False,False,,,32.00404294331869,31.912627827037465,31.87664088080911,31.76232170719175,32.056015735729666,31.849340438842773,31.849340438842773,,,,,,,True,False,32.132154458401715
2022-01-05,32.654280661769064,32.75217757081187,32.43673049965082,32.48023986816406,45626404,0.0,0.0,0.0,2022-01-05,False,False,,,32.109864482173215,31.96422892168534,31.90031142933283,32.132154458401715,32.545501708984375,32.00404294331869,31.912627827037465,31.849340438842773,31.849340438842773,,,,,True,False,32.43673049965082
2022-01-06,32.262688863387645,32.360585769873516,31.979872996110295,32.17566680908203,34484932,0.0,0.0,0.0,2022-01-06,False,False,,,32.124487221486284,31.98345054781231,31.911109679519075,32.43673049965082,32.75217757081187,32.109864482173215,31.96422892168534,32.00404294331869,31.912627827037465,,,,,True,False,31.979872996110295
2022-01-07,32.262689297559795,32.414973745204044,31.871098346794582,31.892854690551758,27956496,0.0,0.0,0.0,2022-01-07,False,False,,,32.07301332572305,31.975214560788622,31.91039379759879,31.979872996110295,32.360585769873516,32.124487221486284,31.98345054781231,32.109864482173215,31.96422892168534,,,,,True,False,31.871098346794582
2022-01-10,31.762318278994776,32.15390916826254,31.63178687605503,32.09952163696289,62807884,0.0,0.0,0.0,2022-01-10,False,False,,,32.07890406155413,31.986515204077193,31.917810575613068,31.871098346794582,32.414973745204044,32.07301332572305,31.975214560788622,32.124487221486284,31.98345054781231,,,,,True,False,31.63178687605503
2022-01-11,32.11040324308167,32.30619704889058,31.914606117720933,32.26268768310547,71021608,0.0,0.0,0.0,2022-01-11,False,False,,,32.11974486634331,32.01162179307976,31.93133516806375,31.63178687605503,32.15390916826254,32.07890406155413,31.986515204077193,32.07301332572305,31.975214560788622,,,,,True,False,31.914606117720933
2022-01-12,32.4911090212497,32.54549654668229,32.349699463394295,32.53461837768555,40619208,0.0,0.0,0.0,2022-01-12,False,False,,,32.21193897997492,32.05916693713483,31.95499333314696,31.914606117720933,32.30619704889058,32.11974486634331,32.01162179307976,32.07890406155413,31.986515204077193,,,,,True,False,32.349699463394295
2022-01-13,32.53462562587761,32.7304194332342,32.53462562587761,32.69778823852539,29812384,0.0,0.0,0.0,2022-01-13,False,False,,,32.319905481875026,32.11722341907943,31.984122545122585,32.349699463394295,32.54549654668229,32.21193897997492,32.05916693713483,32.11974486634331,32.01162179307976,,,,,True,False,32.53462562587761
2022-01-14,32.80656331362391,32.893582045881985,32.42585055077909,32.69778823852539,40446116,0.0,0.0,0.0,2022-01-14,False,False,,,32.40387942779733,32.17000203902906,32.012109435059955,32.53462562587761,32.7304194332342,32.319905481875026,32.11722341907943,32.21193897997492,32.05916693713483,,,,,True,False,32.42585055077909
2022-01-17,32.87182932924464,33.15464187149758,32.87182932924464,33.067623138427734,27711192,0.0,0.0,0.0,2022-01-17,False,False,,,32.55137803015964,32.251603957156206,32.05350212930967,32.42585055077909,32.893582045881985,32.40387942779733,32.17000203902906,32.319905481875026,32.11722341907943,,,,,True,False,32.87182932924464
2022-01-18,33.111132196079026,33.12201036749924,32.66515372426472,32.69778823852539,57660460,0.0,0.0,0.0,2022-01-18,False,False,,,32.58391363201869,32.2921661645534,32.0787682512397,32.87182932924464,33.15464187149758,32.55137803015964,32.251603957156206,32.40387942779733,32.17000203902906,,,,,True,False,32.66515372426472
2022-01-19,32.41496937042133,32.556375627102554,32.25180677291922,32.30619430541992,58657148,0.0,0.0,0.0,2022-01-19,False,False,,,32.522198226107854,32.29344145008672,32.08768692003108,32.66515372426472,33.12201036749924,32.58391363201869,32.2921661645534,32.55137803015964,32.251603957156206,,,,,True,False,32.25180677291922
2022-01-20,32.30619421101421,32.45847863766087,32.11040042240443,32.43672561645508,65053388,0.0,0.0,0.0,2022-01-20,False,False,,0.4226692310699031,32.50320431285168,32.306467283392934,32.101374712047715,32.25180677291922,32.556375627102554,32.522198226107854,32.29344145008672,32.58391363201869,32.2921661645534,,,,,True,False,32.11040042240443
2022-01-21,31.99208396151204,32.003200722443374,31.636371358223368,31.714181900024414,119510380,0.8,0.0,0.0,2022-01-21,False,False,,0.4588592474766026,32.32786599889006,32.25262315763216,32.086190680203664,32.11040042240443,32.45847863766087,32.50320431285168,32.306467283392934,32.522198226107854,32.29344145008672,0.8785542560254628,0.8526830457346593,0.025871210290803526,,True,False,31.636371358223368
