,equity
2024-01-02 09:00:00,1.0
2024-01-02 09:30:00,1.0
2024-01-02 10:00:00,1.0
2024-01-02 10:30:00,1.0
2024-01-02 11:00:00,1.0
2024-01-02 11:30:00,1.0
2024-01-02 12:00:00,1.0
2024-01-02 12:30:00,1.0
2024-01-02 13:00:00,1.0
2024-01-03 09:00:00,1.0
2024-01-03 09:30:00,1.0
2024-01-03 10:00:00,1.0
2024-01-03 10:30:00,1.0
2024-01-03 11:00:00,1.0
2024-01-03 11:30:00,1.0
2024-01-03 12:00:00,1.0
2024-01-03 12:30:00,1.0
2024-01-03 13:00:00,1.0
2024-01-04 09:00:00,1.0
2024-01-04 09:30:00,1.0
2024-01-04 10:00:00,1.0
2024-01-04 10:30:00,1.0
2024-01-04 11:00:00,1.0
2024-01-04 11:30:00,1.0
2024-01-04 12:00:00,1.0
2024-01-04 12:30:00,1.0
2024-01-04 13:00:00,1.0
2024-01-05 09:00:00,1.0
2024-01-05 09:30:00,1.0
2024-01-05 10:00:00,1.0
2024-01-05 10:30:00,1.0
2024-01-05 11:00:00,1.0
2024-01-05 11:30:00,1.0
2024-01-05 12:00:00,1.0
2024-01-05 12:30:00,1.0
2024-01-05 13:00:00,1.0
2024-01-08 09:00:00,1.0
2024-01-08 09:30:00,1.0
2024-01-08 10:00:00,1.0
2024-01-08 10:30:00,1.0
2024-01-08 11:00:00,1.0
2024-01-08 11:30:00,1.0
2024-01-08 12:00:00,1.0
2024-01-08 12:30:00,1.0
2024-01-08 13:00:00,1.0
2024-01-09 09:00:00,1.0
2024-01-09 09:30:00,1.0
2024-01-09 10:00:00,1.0
2024-01-09 10:30:00,1.0
2024-01-09 11:00:00,1.0
2024-01-09 11:30:00,1.0
2024-01-09 12:00:00,1.0
2024-01-09 12:30:00,1.0
2024-01-09 13:00:00,1.0
2024-01-10 09:00:00,1.0
2024-01-10 09:30:00,1.0
2024-01-10 10:00:00,1.0
2024-01-10 10:30:00,1.0
2024-01-10 11:00:00,1.0
2024-01-10 11:30:00,1.0
2024-01-10 12:00:00,1.0
2024-01-10 12:30:00,1.0
2024-01-10 13:00:00,1.0
2024-01-11 09:00:00,1.0
2024-01-11 09:30:00,1.0
2024-01-11 10:00:00,1.0
2024-01-11 10:30:00,1.0
2024-01-11 11:00:00,1.0
2024-01-11 11:30:00,1.0
2024-01-11 12:00:00,1.0
2024-01-11 12:30:00,1.0
2024-01-11 13:00:00,1.0
2024-01-12 09:00:00,1.0
2024-01-12 09:30:00,1.0
2024-01-12 10:00:00,1.0
2024-01-12 10:30:00,1.0
2024-01-12 11:00:00,1.0
2024-01-12 11:30:00,1.0
2024-01-12 12:00:00,1.0
2024-01-12 12:30:00,1.0
2024-01-12 13:00:00,1.0
2024-01-15 09:00:00,1.0
2024-01-15 09:30:00,1.0
2024-01-15 10:00:00,1.0
2024-01-15 10:30:00,1.0
2024-01-15 11:00:00,1.0
2024-01-15 11:30:00,1.0
2024-01-15 12:00:00,1.0
2024-01-15 12:30:00,1.0
2024-01-15 13:00:00,1.0
2024-01-16 09:00:00,1.0
2024-01-16 09:30:00,1.0
2024-01-16 10:00:00,1.0
2024-01-16 10:30:00,1.0
2024-01-16 11:00:00,1.0
2024-01-16 11:30:00,1.0
2024-01-16 12:00:00,1.0
2024-01-16 12:30:00,1.0
2024-01-16 13:00:00,1.0
2024-01-17 09:00:00,1.0
2024-01-17 09:30:00,1.0
2024-01-17 10:00:00,1.0
2024-01-17 10:30:00,1.0
2024-01-17 11:00:00,1.0
2024-01-17 11:30:00,1.0
2024-01-17 12:00:00,1.0
2024-01-17 12:30:00,1.0
2024-01-17 13:00:00,1.0
2024-01-18 09:00:00,1.0
2024-01-18 09:30:00,1.0
2024-01-18 10:00:00,1.0
2024-01-18 10:30:00,1.0
2024-01-18 11:00:00,1.0
