,equity
2020-04-30,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-25,1.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,1.0
2020-06-12,1.0
2020-06-15,1.0
2020-06-16,1.0
2020-06-17,1.0
2020-06-18,1.0
2020-06-19,1.0
2020-06-22,1.0
2020-06-23,1.0
2020-06-24,1.0
2020-06-29,1.0
2020-06-30,1.0
2020-07-01,1.0
2020-07-02,1.0
2020-07-03,1.0
2020-07-06,1.0
2020-07-07,1.0
2020-07-08,1.0
2020-07-09,1.0
2020-07-10,1.0
2020-07-13,1.0
2020-07-14,1.0
2020-07-15,1.0
2020-07-16,1.0
2020-07-17,1.0
2020-07-20,1.0
2020-07-21,1.0
2020-07-22,1.0
2020-07-23,1.0
2020-07-24,1.0
2020-07-27,1.0
2020-07-28,1.0
2020-07-29,1.0
2020-07-30,1.0
2020-07-31,1.0
2020-08-03,1.0
2020-08-04,1.0
2020-08-05,1.0
2020-08-06,1.0
2020-08-07,1.0
2020-08-10,1.0
2020-08-11,1.0
2020-08-12,1.0
2020-08-13,1.0
2020-08-14,1.0
2020-08-17,1.0
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,1.0
2020-08-24,1.0
2020-08-25,1.0
2020-08-26,1.0
2020-08-27,1.0
2020-08-28,1.0
2020-08-31,1.0
2020-09-01,1.0
2020-09-02,1.0
2020-09-03,1.0
2020-09-04,1.0
2020-09-07,1.0
2020-09-08,1.0
2020-09-09,1.0
2020-09-10,1.0
2020-09-11,1.0
2020-09-14,1.0
2020-09-15,1.0
2020-09-16,1.0
2020-09-17,1.0
2020-09-18,0.998575
2020-09-21,1.006746626660405
2020-09-22,0.9855002707681202
2020-09-23,1.0083809238646568
2020-09-24,0.980597308835792
2020-09-25,0.9587088003085422
2020-09-28,0.9587088003085422
2020-09-29,0.9587088003085422
2020-09-30,0.9587088003085422
2020-10-05,0.9587088003085422
2020-10-06,0.9587088003085422
2020-10-07,0.9587088003085422
2020-10-08,0.9587088003085422
2020-10-12,0.9573426402681026
2020-10-13,0.937230502945471
2020-10-14,0.9238221421737097
2020-10-15,0.9238221421737097
2020-10-16,0.9117548020894151
2020-10-19,0.9278446273289519
2020-10-20,0.9345489807869798
2020-10-21,0.9265038950950641
2020-10-22,0.9224812368676749
2020-10-23,0.9090732222402081
2020-10-26,0.9037100048510783
2020-10-27,0.9184589824752958
2020-10-28,0.9130955920140187
2020-10-29,0.9171180771692609
2020-10-30,0.9090732222402083
2020-11-02,0.8755528395272469
2020-11-03,0.891642607076068
2020-11-04,0.9077324323156047
2020-11-05,0.9332079024087976
2020-11-06,0.938571177488643
2020-11-09,0.9412528150285658
2020-11-10,0.9197997147091835
2020-11-11,0.9063914693188538
2020-11-12,0.9023691572357591
2020-11-13,0.9050507947756818
2020-11-16,0.9305262648688747
2020-11-17,0.9332079024087975
2020-11-18,0.9761139876661308
2020-11-19,0.9828182257427271
2020-11-20,1.001589630831471
2020-11-23,0.9962262403701938
2020-11-24,0.9948852773734431
2020-11-25,0.9707508279677167
2020-11-26,0.9787956828967694
2020-11-27,0.9720914448201732
2020-11-30,0.9439345679499204
2020-12-01,0.93454898078698
2020-12-02,0.9546608873467486
2020-12-03,0.9385711774886433
2020-12-04,0.9452753001838081
2020-12-07,0.9439345679499203
2020-12-08,0.9787956828967693
2020-12-09,0.984158957976615
2020-12-10,0.9506384598822222
2020-12-11,0.9479568800330151
2020-12-14,0.9412528150285661
2020-12-15,0.9399119674132468
2020-12-16,0.9399119674132468
2020-12-17,0.9439345679499205
2020-12-18,0.9372305029454714
2020-12-21,0.9492977276483345
2020-12-22,0.9425936626438854
2020-12-23,0.9653874375064398
2020-12-24,0.9573426402681029
2020-12-25,0.9586833725019908
2020-12-28,0.9922039282870992
2020-12-29,0.9841589579766151
2020-12-30,1.0002487832161517
2020-12-31,1.001589630831471
2021-01-04,1.0619262735622288
2021-01-05,1.068630280875962
2021-01-06,1.0619262735622286
2021-01-07,1.0713119761066006
2021-01-08,1.1197349408248682
2021-01-11,1.12842026836853
2021-01-12,1.125105264155198
2021-01-13,1.1503735525480987
2021-01-14,1.1354083236846435
2021-01-15,1.1281554808679752
2021-01-18,1.1241737192274908
2021-01-19,1.1474829270144782
2021-01-20,1.1429139426259756
2021-01-21,1.1835450571707469
2021-01-22,1.1727740008841014
2021-01-25,1.1682977684400973
2021-01-26,1.1432628320419227
2021-01-27,1.1603265204631974
2021-01-28,1.1422166501190694
2021-01-29,1.146159840083635
2021-02-01,1.1658082490747124
2021-02-02,1.1825547282590956
2021-02-03,1.1946215139749492
2021-02-04,1.1921065700660862
2021-02-05,1.1946268308775954
2021-02-17,1.213489481097537
2021-02-18,1.212251144216159
2021-02-19,1.203574508759777
2021-02-22,1.1954591441022742
2021-02-23,1.2042584104171805
2021-02-24,1.1886592140521024
2021-02-25,1.1911883361747115
2021-02-26,1.1609038777476985
2021-03-02,1.160915220150598
2021-03-03,1.160915220150598
