strategy,entry_time,exit_time,entry_trade_date,exit_trade_date,entry_price,exit_price,entry_high,entry_atr,stop_price_at_exit,target_price,tightened,target_hit,stop_hit,gross_return_pct,net_return_pct,gross_pnl,net_pnl,buy_fee,sell_fee,sell_tax,total_cost,bars_held,exit_reason
vortex,2024-01-19 09:00:00,2024-02-01 12:00:00,2024-01-19,2024-02-01,619.0,625.0,625.0,6.928571428571429,572.1428571428571,,False,False,False,0.009693053311793154,0.0037947540264009483,6.0,2.3523,0.882075,0.890625,1.875,3.6477,29,ema8_cross_below_ema21
vortex,2024-02-23 10:30:00,2024-03-20 12:00:00,2024-02-23,2024-03-20,700.0,754.0,700.0,5.928571428571429,684.1428571428571,,False,False,False,0.07714285714285718,0.07085053798337348,54.0,49.66605,0.9975,1.0744500000000001,2.262,4.33395,52,ema8_cross_below_ema21
vortex,2024-04-02 12:00:00,2024-04-09 10:30:00,2024-04-02,2024-04-09,790.0,816.0,790.0,6.571428571428571,769.8571428571429,,False,False,False,0.032911392405063244,0.026877459114432734,26.0,21.26345,1.12575,1.1628,2.448,4.736549999999999,8,vortex_z_gt_threshold
vortex,2024-04-26 09:00:00,2024-05-03 12:00:00,2024-04-26,2024-05-03,787.0,776.0,789.0,10.5,744.0,,False,False,False,-0.013977128335451061,-0.01973715409797716,-11.0,-15.555275,1.121475,1.1058000000000001,2.328,4.555275,14,ema8_cross_below_ema21
vortex,2024-05-13 09:00:00,2024-05-30 12:00:00,2024-05-13,2024-05-30,820.0,842.0,825.0,5.5,788.0,,False,False,False,0.02682926829268295,0.020830864798150328,22.0,17.105649999999997,1.1685,1.19985,2.5260000000000002,4.894350000000001,41,ema8_cross_below_ema21
vortex,2024-06-06 09:00:00,2024-07-18 10:30:00,2024-06-06,2024-07-18,895.0,999.0,898.0,10.142857142857142,825.7142857142857,,False,False,False,0.11620111731843585,0.1096806324730275,104.0,98.30405,1.2753750000000001,1.423575,2.997,5.69595,88,ema8_cross_below_ema21
vortex,2024-08-16 12:00:00,2024-08-23 12:00:00,2024-08-16,2024-08-23,967.0,949.0,968.0,7.642857142857143,942.7142857142857,,False,False,False,-0.018614270941054833,-0.02434720802071122,-18.0,-23.5773,1.377975,1.352325,2.847,5.577299999999999,15,ema8_cross_below_ema21
vortex,2024-09-12 09:00:00,2024-10-04 09:00:00,2024-09-12,2024-10-04,941.0,979.0,942.0,10.357142857142858,881.2857142857143,,False,False,False,0.040382571732199724,0.03430499423549915,38.0,32.327,1.3409250000000001,1.395075,2.9370000000000003,5.673,39,ema8_cross_below_ema21
vortex,2024-10-22 10:30:00,2024-10-28 12:00:00,2024-10-22,2024-10-28,1065.0,1060.0,1070.0,20.357142857142858,1019.2857142857143,,False,False,False,-0.0046948356807511304,-0.010509085585903799,-5.0,-11.208125,1.517625,1.5105,3.18,6.208125000000001,13,ema8_cross_below_ema21
vortex,2024-11-07 12:00:00,2024-11-13 10:30:00,2024-11-07,2024-11-13,1070.0,1040.0,1075.0,15.714285714285714,1018.5714285714286,,False,False,False,-0.028037383177570097,-0.03371527349228298,-30.0,-36.12675,1.52475,1.482,3.12,6.12675,11,ema8_cross_below_ema21
vortex,2024-12-17 10:30:00,2024-12-20 10:30:00,2024-12-17,2024-12-20,1080.0,1050.0,1085.0,10.714285714285714,1058.5714285714287,,False,False,False,-0.02777777777777779,-0.03345718462302327,-30.0,-36.185249999999996,1.5390000000000001,1.49625,3.15,6.18525,9,ema8_cross_below_ema21
vortex,2025-01-20 09:00:00,2025-02-03 12:00:00,2025-01-20,2025-02-03,1125.0,1075.0,1135.0,16.071428571428573,1072.857142857143,,False,False,False,-0.0444444444444444,-0.05002649002948589,-50.0,-56.36,1.6031250000000001,1.531875,3.225,6.36,11,ema8_cross_below_ema21
vortex,2025-03-25 10:30:00,2025-03-27 10:30:00,2025-03-25,2025-03-27,990.0,960.0,990.0,9.642857142857142,965.7142857142857,,False,False,False,-0.030303030303030276,-0.035967685442184316,-30.0,-35.65875,1.41075,1.368,2.88,5.6587499999999995,6,ema8_cross_below_ema21
vortex,2025-05-12 09:00:00,2025-05-27 10:30:00,2025-05-12,2025-05-27,958.0,963.0,962.0,10.428571428571429,921.1428571428571,,False,False,False,0.005219206680584509,-0.0006529578440491735,5.0,-0.6264250000000002,1.36515,1.3722750000000001,2.8890000000000002,5.626425,34,ema8_cross_below_ema21
vortex,2025-06-04 10:30:00,2025-06-23 10:30:00,2025-06-04,2025-06-23,983.0,1020.0,985.0,11.0,948.0,,False,False,False,0.03763987792472023,0.031578322355546806,37.0,31.085725,1.400775,1.4535,3.06,5.914275,39,ema8_cross_below_ema21
vortex,2025-06-25 09:00:00,2025-06-26 09:00:00,2025-06-25,2025-06-26,1065.0,1075.0,1065.0,12.142857142857142,1020.7142857142857,,False,False,False,0.009389671361502261,0.0034931443350503244,10.0,3.7255000000000003,1.517625,1.531875,3.225,6.2745,3,vortex_z_gt_threshold
